,raw_portfolio_return
2005-01-04,0.0039557040703377755
2005-01-05,-0.002739587077042549
2005-01-06,-0.0017403831557137423
2005-01-07,0.002170848670298433
2005-01-10,0.004521554579832588
2005-01-11,-0.001454517244247615
2005-01-12,-0.0015740420617897035
2005-01-13,-0.0002446760305564522
2005-01-14,-0.0015771344105414832
2005-01-17,0.002931782858702109
2005-01-18,-0.0014715262851596666
2005-01-19,0.0007837073586459175
2005-01-20,0.0015449190157895824
2005-01-21,-0.0032599160205284577
2005-01-24,-0.0016851004106796694
2005-01-25,0.0031529182136253286
2005-01-26,0.0009446449563530091
2005-01-27,0.0020755943386308933
2005-01-28,0.0037061682715743127
2005-01-31,0.0029621904836169316
2005-02-01,0.0017575808309727972
2005-02-02,-0.0019051330071955502
2005-02-03,-0.0022853273033053177
2005-02-04,-0.0017992027757001597
2005-02-07,0.0027720848155271113
2005-02-08,0.00027983274015819476
2005-02-09,-0.0012536142216443857
2005-02-10,-0.001218490863338873
2005-02-11,-0.004339278173521537
2005-02-14,0.0008678740862489193
2005-02-15,0.0003722417985237178
2005-02-16,0.00037840365148311347
2005-02-17,-0.004194847990709917
2005-02-18,0.004040479826449566
2005-02-21,-0.006650717355685972
2005-02-22,-0.0051678604780068995
2005-02-23,0.0020179925745541713
2005-02-24,-0.00037696048110410303
2005-02-25,0.0015391332567483383
2005-02-28,-0.0018471995980331214
2005-03-01,0.00012565393981115586
2005-03-02,0.0036896543772076723
2005-03-03,0.0024119928406546804
2005-03-04,0.004887147720236479
2005-03-07,0.0034794712392421743
2005-03-08,0.0007806745219471913
2005-03-09,-0.002941985983471965
2005-03-10,-0.002597547154627533
2005-03-11,0.006389150845137914
2005-03-14,0.003031164942874561
2005-03-15,-0.0012389627511874219
2005-03-16,-0.0002709327110562638
2005-03-17,0.005066718582803385
2005-03-18,-0.0018946785916431294
2005-03-21,0.0043945724850946825
2005-03-22,-0.0015553955020064303
2005-03-23,-0.0013314990010033874
2005-03-24,-0.0005883748240082761
2005-03-25,0.0024618323437051864
2005-03-28,-0.00412930885167722
2005-03-29,0.003220402512059179
2005-03-30,0.0006931251985678848
2005-03-31,0.0024710050722822844
2005-04-01,-0.0012947236806188454
2005-04-04,0.00299090876992888
2005-04-05,-0.002581453532801256
2005-04-06,0.0025721125982072377
2005-04-07,-0.0023211755512201546
2005-04-08,-0.001789988038748881
2005-04-11,-0.0016818218209027971
2005-04-12,0.0014297820221528218
2005-04-13,-0.00014298339904379948
2005-04-14,-0.001485471342283231
2005-04-15,-0.005919531687536815
2005-04-18,-0.0015307464349231224
2005-04-19,0.0013723704466062296
2005-04-20,0.0015877509575368287
2005-04-21,0.0008817550412429066
2005-04-22,0.0009542135845468235
2005-04-25,0.0011562861017762054
2005-04-26,-0.00023794452061047755
2005-04-27,-0.0024575358473580985
2005-04-28,-0.001786919388405543
2005-04-29,0.0007861196484261349
2005-05-02,0.002033325637622699
2005-05-03,-0.0011878099595769407
2005-05-04,1.918585425712203e-05
2005-05-05,0.0021881941849218344
2005-05-06,0.0016415333942969715
2005-05-09,0.0014216225375332753
2005-05-10,-0.0010991808228702814
2005-05-11,0.0045635438672025274
2005-05-12,0.004996565213910631
2005-05-13,-0.00624719438899534
2005-05-16,0.0026491116076393416
2005-05-17,7.389184930865062e-05
2005-05-18,0.002578615862741065
2005-05-19,0.00555609731531712
2005-05-20,-0.001729845497624249
2005-05-23,-0.0013988761252408453
2005-05-24,0.0038089151911000515
2005-05-25,0.004824527670405771
2005-05-26,-0.006833172173072931
2005-05-27,0.0007513250284309626
2005-05-30,-0.002947489074564761
2005-05-31,-0.00015527824850632577
2005-06-01,0.000966995056678861
2005-06-02,-0.003786833602397437
2005-06-03,-0.004325863306316212
2005-06-06,-0.0038041513087694314
