split,train_end,test_end,cond_sample,cond_lw,erank_sample,erank_lw,turnover_sample,turnover_lw,turnover_hrp,oos_sharpe_sample,oos_sharpe_lw,oos_sharpe_hrp,weight_diff_l2,weight_diff_l2_hrp_sample,weight_diff_l2_hrp_lw
0,2026-09-15,2005-06-30,9.891232136303477,9.365269350731849,17.96402570019694,18.025339447642217,0.0,0.0,0.0,-0.15333863135616105,-0.15779056117820006,-0.9627723660771796,0.006486383713097855,0.2379737293867321,0.23868884432646728
1,2026-09-15,2005-12-27,9.89148309805009,9.372193501479249,17.94772417834747,18.008885971024032,0.06833167464231102,0.06879967338896573,0.008775663140760412,0.23508599722849755,0.23520779026450464,0.7649088228713106,0.006683258174768053,0.24926623453217792,0.2499944518752078
2,2026-09-15,2006-06-23,9.943808390219179,9.417261026757593,17.949201526960458,18.010480031719446,0.06281161750493287,0.06331161177743283,0.007412629321926963,-0.3658386754470492,-0.38364766604070133,-1.2470911520959795,0.006408149875639302,0.2445507091192689,0.24544613640863475
3,2026-09-15,2006-12-20,9.955262076705234,9.426906233832714,17.95276587903978,18.01406476252862,0.07036323626002239,0.07022283352466037,0.01587528227856416,0.8524979259105352,0.8669404939629892,0.12198793082982894,0.007232993486876394,0.24844952163785416,0.24888288116766166
4,2026-09-15,2007-06-18,9.903630167055512,9.377519039965708,17.962383956922643,18.02372636899396,0.058811070578469626,0.059113042533596116,0.008709274879064088,-0.45447060760650754,-0.46285261405949407,0.2862359022738063,0.006460142142917741,0.2582376870852185,0.25906910537693534
5,2026-09-15,2007-12-13,9.908556701289164,9.378996003977893,17.965135583182388,18.026622517007347,0.06452957458698147,0.06470770494610567,0.013295475391946341,-0.7611594937270983,-0.744943439730175,-0.22894169668568107,0.007047142571819296,0.2515832869855856,0.2521818389918832
6,2026-09-15,2008-06-10,9.92781215963087,9.397573814869983,17.967445905703823,18.028849850847767,0.08231593905611106,0.08299670929397461,0.020459922248061767,-0.2118477059574273,-0.16562948160577995,0.037173019305468666,0.00755975811911553,0.2626191164466425,0.2623568595826567
7,2026-09-15,2008-12-05,10.016437487088474,9.485380970950619,17.950442498041745,18.011509316853136,0.10707534531970687,0.10803739263571412,0.005996415644356629,-0.09076458420468059,-0.09432106402842119,-1.3823408540177553,0.006190869653285969,0.23934890456894836,0.23985580619495417
8,2026-09-15,2009-06-03,9.97331639379049,9.443150115300842,17.955115226815092,18.0163501378202,0.06438143509970079,0.06479635921636057,0.004857094328325074,-0.6056803801166946,-0.6228606310982444,-0.3334227978783083,0.005788603885277443,0.2380035066090806,0.23906586298522092
9,2026-09-15,2009-11-30,10.044874868253332,9.506877950930493,17.954198899520033,18.01554444716499,0.07590631805946935,0.0753835524680831,0.011970312105514072,2.004653007201512,2.0467521435274323,0.1907878265813665,0.007208063489874494,0.24026421285625085,0.24061811840316494
