path_id,test_start,test_end,sr_equal_weight,sr_naive_markowitz,sr_lw_shrinkage_only,sr_regularised_markowitz,sr_hrp
0,2005-01-04,2012-03-27,-0.23885663622225242,-0.023688843603030803,-0.022620748749072186,-0.022620748749072186,-0.2803394737904838
1,2005-01-04,2015-11-06,0.46172107413199354,0.36346803840693065,0.3705671564764202,0.3705671564764202,0.43180550496654657
2,2005-01-04,2019-06-19,-0.010837613651048949,0.29629537332781236,0.29946601722429433,0.29946601722429433,-0.08834506326577139
3,2005-01-04,2023-01-30,-0.49924938345252595,0.040879156731643405,0.04631534085095396,0.04631534085095396,-0.6354306214279714
4,2005-01-04,2026-09-15,0.678660751947758,0.6079863514971281,0.6150872436451307,0.6150872436451307,0.5650343350131095
5,2008-08-15,2015-11-06,0.26682866193156624,0.5103773268866083,0.5016510403232514,0.5016510403232514,0.4503319868371629
6,2008-08-15,2019-06-19,-0.20139014906673947,0.6543834973559515,0.6493680137112317,0.6493680137112317,-0.06502909445896443
7,2008-08-15,2023-01-30,-0.6815774931987353,-0.24107101580506318,-0.24772143250838125,-0.24772143250838125,-0.6046316137881808
8,2008-08-15,2026-09-15,0.47860873725427877,0.8445935549963115,0.8404468271703918,0.8404468271703918,0.5849056082183692
9,2012-03-28,2019-06-19,0.5083606363974384,0.6007796358190359,0.5933365452499257,0.5933365452499257,0.6946691995305104
10,2012-03-28,2023-01-30,0.021822537712685167,0.3147711880505311,0.30880114770334216,0.30880114770334216,0.13390551941653747
11,2012-03-28,2026-09-15,1.1899032906138343,1.0034407927385343,1.000264663501378,1.000264663501378,1.3203378760715472
12,2015-11-09,2023-01-30,-0.4641513110798222,0.3453220374689611,0.3401979987701217,0.3401979987701217,-0.4020954981439515
13,2015-11-09,2026-09-15,0.7285122122241762,1.0543310300954907,1.0480905080262968,1.0480905080262968,0.7967521526576965
14,2019-06-20,2026-09-15,0.23751747446305857,0.6346416919017827,0.6314227384225714,0.6314227384225714,0.27535830865013433
